date,orders
2022-12-02,279
2022-12-03,263
2022-12-04,240
2022-12-05,217
2022-12-06,227
2022-12-07,217
2022-12-08,223
2022-12-09,247
2022-12-10,247
2022-12-11,247
2022-12-12,194
2022-12-13,213
2022-12-14,234
2022-12-15,231
2022-12-16,216
2022-12-17,242
2022-12-18,251
2022-12-19,214
2022-12-20,213
2022-12-21,223
2022-12-22,226
2022-12-23,226
2022-12-24,256
2022-12-25,264
2022-12-26,213
2022-12-27,224
2022-12-28,245
2022-12-29,233
2022-12-30,234
2022-12-31,239
2023-01-01,314
2023-01-02,169
2023-01-03,177
2023-01-04,203
2023-01-05,204
2023-01-06,201
2023-01-07,207
2023-01-08,226
2023-01-09,182
2023-01-10,199
2023-01-11,220
2023-01-12,201
2023-01-13,198
2023-01-14,216
2023-01-15,233
2023-01-16,189
2023-01-17,184
2023-01-18,201
2023-01-19,191
2023-01-20,220
2023-01-21,245
2023-01-22,250
2023-01-23,189
2023-01-24,203
2023-01-25,201
2023-01-26,201
2023-01-27,208
2023-01-28,221
2023-01-29,223
2023-01-30,204
2023-01-31,199
2023-02-01,210
2023-02-02,221
2023-02-03,198
2023-02-04,232
2023-02-05,248
2023-02-06,205
2023-02-07,202
2023-02-08,221
2023-02-09,215
2023-02-10,206
2023-02-11,233
2023-02-12,259
2023-02-13,208
2023-02-14,189
2023-02-15,228
2023-02-16,222
2023-02-17,237
2023-02-18,243
2023-02-19,248
2023-02-20,195
2023-02-21,239
2023-02-22,213
2023-02-23,236
2023-02-24,217
2023-02-25,252
2023-02-26,234
2023-02-27,204
2023-02-28,224
2023-03-01,208
2023-03-02,237
2023-03-03,235
2023-03-04,245
2023-03-05,256
2023-03-06,210
2023-03-07,219
2023-03-08,218
2023-03-09,217
2023-03-10,230
2023-03-11,247
2023-03-12,248
2023-03-13,216
2023-03-14,231
2023-03-15,209
2023-03-16,229
2023-03-17,228
2023-03-18,250
2023-03-19,279
2023-03-20,213
2023-03-21,240
2023-03-22,219
2023-03-23,211
2023-03-24,211
2023-03-25,229
2023-03-26,249
2023-03-27,196
2023-03-28,208
2023-03-29,206
2023-03-30,197
2023-03-31,213
2023-04-01,242
2023-04-02,258
2023-04-03,192
2023-04-04,205
2023-04-05,192
2023-04-06,218
2023-04-07,206
2023-04-08,221
2023-04-09,246
2023-04-10,213
2023-04-11,191
2023-04-12,199
2023-04-13,204
2023-04-14,206
2023-04-15,248
2023-04-16,238
2023-04-17,195
2023-04-18,283
2023-04-19,270
2023-04-20,290
2023-04-21,343
2023-04-22,370
2023-04-23,394
2023-04-24,247
2023-04-25,226
2023-04-26,237
2023-04-27,236
2023-04-28,245
2023-04-29,271
2023-04-30,303
2023-05-01,213
2023-05-02,212
2023-05-03,222
2023-05-04,221
2023-05-05,252
2023-05-06,282
2023-05-07,262
2023-05-08,209
2023-05-09,225
2023-05-10,250
2023-05-11,205
2023-05-12,249
2023-05-13,256
2023-05-14,289
2023-05-15,212
2023-05-16,225
2023-05-17,216
2023-05-18,224
2023-05-19,259
2023-05-20,280
2023-05-21,268
2023-05-22,214
2023-05-23,207
2023-05-24,227
2023-05-25,234
2023-05-26,240
2023-05-27,266
2023-05-28,257
2023-05-29,221
2023-05-30,226
2023-05-31,246
2023-06-01,261
2023-06-02,242
2023-06-03,261
2023-06-04,275
2023-06-05,218
2023-06-06,221
2023-06-07,233
2023-06-08,224
2023-06-09,250
2023-06-10,268
2023-06-11,277
2023-06-12,221
2023-06-13,220
2023-06-14,221
2023-06-15,231
2023-06-16,234
2023-06-17,271
2023-06-18,272
2023-06-19,207
2023-06-20,227
2023-06-21,215
2023-06-22,225
2023-06-23,235
2023-06-24,239
2023-06-25,271
2023-06-26,221
2023-06-27,222
2023-06-28,316
2023-06-29,319
2023-06-30,304
2023-07-01,234
2023-07-02,234
2023-07-03,197
2023-07-04,188
2023-07-05,206
2023-07-06,207
2023-07-07,210
2023-07-08,230
2023-07-09,245
2023-07-10,179
2023-07-11,203
2023-07-12,204
2023-07-13,206
2023-07-14,213
2023-07-15,225
2023-07-16,233
2023-07-17,199
2023-07-18,200
2023-07-19,202
2023-07-20,187
2023-07-21,213
2023-07-22,244
2023-07-23,246
2023-07-24,193
2023-07-25,180
2023-07-26,207
2023-07-27,198
2023-07-28,181
2023-07-29,232
2023-07-30,215
2023-07-31,177
2023-08-01,188
2023-08-02,211
2023-08-03,196
2023-08-04,208
2023-08-05,249
2023-08-06,251
2023-08-07,188
2023-08-08,190
2023-08-09,184
2023-08-10,191
2023-08-11,208
2023-08-12,230
2023-08-13,231
2023-08-14,197
2023-08-15,183
2023-08-16,194
2023-08-17,203
2023-08-18,207
2023-08-19,236
2023-08-20,232
2023-08-21,183
2023-08-22,192
2023-08-23,183
2023-08-24,179
2023-08-25,206
2023-08-26,221
2023-08-27,229
2023-08-28,169
2023-08-29,184
2023-08-30,185
2023-08-31,185
2023-09-01,187
2023-09-02,228
2023-09-03,247
2023-09-04,196
2023-09-05,190
2023-09-06,200
2023-09-07,209
2023-09-08,181
2023-09-09,229
2023-09-10,241
2023-09-11,198
2023-09-12,212
2023-09-13,210
2023-09-14,204
2023-09-15,209
2023-09-16,239
2023-09-17,227
2023-09-18,190
2023-09-19,203
2023-09-20,218
2023-09-21,198
2023-09-22,205
2023-09-23,231
2023-09-24,249
2023-09-25,189
2023-09-26,208
2023-09-27,188
2023-09-28,197
2023-09-29,203
2023-09-30,237
2023-10-01,249
2023-10-02,179
2023-10-03,188
2023-10-04,204
2023-10-05,196
2023-10-06,194
2023-10-07,245
2023-10-08,242
2023-10-09,198
2023-10-10,192
2023-10-11,212
2023-10-12,201
2023-10-13,221
2023-10-14,222
2023-10-15,227
2023-10-16,195
2023-10-17,191
2023-10-18,208
2023-10-19,206
2023-10-20,200
2023-10-21,234
2023-10-22,233
2023-10-23,203
2023-10-24,192
2023-10-25,198
2023-10-26,217
2023-10-27,235
2023-10-28,259
2023-10-29,239
2023-10-30,197
2023-10-31,215
2023-11-01,218
2023-11-02,211
2023-11-03,229
2023-11-04,260
2023-11-05,248
2023-11-06,195
2023-11-07,201
2023-11-08,228
2023-11-09,215
2023-11-10,228
2023-11-11,259
2023-11-12,269
2023-11-13,210
2023-11-14,223
2023-11-15,213
2023-11-16,221
2023-11-17,220
2023-11-18,273
2023-11-19,262
2023-11-20,207
2023-11-21,216
2023-11-22,222
2023-11-23,235
2023-11-24,216
2023-11-25,247
2023-11-26,260
2023-11-27,246
2023-11-28,233
2023-11-29,225
2023-11-30,237
2023-12-01,272
2023-12-02,363
2023-12-03,273
2023-12-04,242
2023-12-05,238
2023-12-06,246
2023-12-07,234
2023-12-08,273
2023-12-09,301
2023-12-10,290
2023-12-11,238
2023-12-12,213
2023-12-13,248
2023-12-14,241
2023-12-15,256
2023-12-16,290
2023-12-17,280
2023-12-18,373
2023-12-19,243
2023-12-20,235
2023-12-21,243
2023-12-22,247
2023-12-23,279
2023-12-24,257
2023-12-25,251
2023-12-26,245
2023-12-27,261
2023-12-28,276
2023-12-29,258
2023-12-30,263
2023-12-31,280
2024-01-01,257
2024-01-02,205
2024-01-03,216
2024-01-04,197
2024-01-05,228
2024-01-06,232
2024-01-07,259
2024-01-08,207
2024-01-09,210
2024-01-10,217
2024-01-11,214
2024-01-12,220
2024-01-13,233
2024-01-14,258
2024-01-15,232
2024-01-16,239
2024-01-17,236
2024-01-18,231
2024-01-19,223
2024-01-20,276
2024-01-21,261
2024-01-22,214
2024-01-23,216
2024-01-24,225
2024-01-25,222
2024-01-26,233
2024-01-27,247
2024-01-28,261
2024-01-29,243
2024-01-30,221
2024-01-31,224
2024-02-01,238
2024-02-02,248
2024-02-03,252
2024-02-04,269
2024-02-05,233
2024-02-06,230
2024-02-07,234
2024-02-08,254
2024-02-09,234
2024-02-10,271
2024-02-11,268
2024-02-12,243
2024-02-13,209
2024-02-14,227
2024-02-15,232
2024-02-16,253
2024-02-17,282
2024-02-18,299
2024-02-19,211
2024-02-20,242
2024-02-21,234
2024-02-22,233
2024-02-23,255
2024-02-24,264
2024-02-25,254
2024-02-26,226
2024-02-27,218
2024-02-28,233
2024-02-29,248
2024-03-01,260
2024-03-02,308
2024-03-03,287
2024-03-04,220
2024-03-05,233
2024-03-06,236
2024-03-07,236
2024-03-08,264
2024-03-09,278
2024-03-10,265
2024-03-11,223
2024-03-12,219
2024-03-13,229
2024-03-14,228
2024-03-15,242
2024-03-16,261
2024-03-17,282
2024-03-18,222
2024-03-19,226
2024-03-20,231
2024-03-21,213
2024-03-22,234
2024-03-23,259
2024-03-24,270
2024-03-25,204
2024-03-26,242
2024-03-27,229
2024-03-28,217
2024-03-29,218
2024-03-30,260
2024-03-31,268
2024-04-01,214
2024-04-02,228
2024-04-03,224
2024-04-04,240
2024-04-05,232
2024-04-06,267
2024-04-07,382
2024-04-08,338
2024-04-09,288
2024-04-10,374
2024-04-11,399
2024-04-12,427
2024-04-13,282
2024-04-14,296
2024-04-15,248
2024-04-16,241
2024-04-17,246
2024-04-18,255
2024-04-19,242
2024-04-20,278
2024-04-21,298
2024-04-22,250
2024-04-23,251
2024-04-24,360
2024-04-25,255
2024-04-26,280
2024-04-27,307
2024-04-28,303
2024-04-29,238
2024-04-30,261
2024-05-01,251
2024-05-02,246
2024-05-03,258
2024-05-04,321
2024-05-05,307
2024-05-06,263
2024-05-07,247
2024-05-08,270
2024-05-09,253
2024-05-10,266
2024-05-11,338
2024-05-12,315
2024-05-13,241
2024-05-14,251
2024-05-15,261
2024-05-16,276
2024-05-17,261
2024-05-18,272
2024-05-19,298
2024-05-20,247
2024-05-21,253
2024-05-22,274
2024-05-23,263
2024-05-24,277
2024-05-25,280
2024-05-26,314
2024-05-27,272
2024-05-28,260
2024-05-29,258
2024-05-30,259
2024-05-31,289
2024-06-01,286
2024-06-02,303
2024-06-03,254
2024-06-04,263
2024-06-05,253
2024-06-06,264
2024-06-07,264
2024-06-08,300
2024-06-09,301
2024-06-10,233
2024-06-11,251
2024-06-12,268
2024-06-13,246
2024-06-14,263
2024-06-15,305
2024-06-16,425
2024-06-17,366
2024-06-18,344
2024-06-19,269
2024-06-20,288
2024-06-21,292
2024-06-22,290
2024-06-23,309
2024-06-24,244
2024-06-25,249
2024-06-26,272
2024-06-27,238
2024-06-28,275
2024-06-29,290
2024-06-30,316
2024-07-01,219
2024-07-02,214
2024-07-03,228
2024-07-04,236
2024-07-05,234
2024-07-06,266
2024-07-07,257
2024-07-08,193
2024-07-09,229
2024-07-10,231
2024-07-11,226
2024-07-12,232
2024-07-13,270
2024-07-14,255
2024-07-15,205
2024-07-16,215
2024-07-17,234
2024-07-18,208
2024-07-19,243
2024-07-20,246
2024-07-21,244
2024-07-22,224
2024-07-23,213
2024-07-24,205
2024-07-25,216
2024-07-26,237
2024-07-27,267
2024-07-28,250
2024-07-29,213
2024-07-30,220
2024-07-31,209
2024-08-01,224
2024-08-02,226
2024-08-03,245
2024-08-04,249
2024-08-05,209
2024-08-06,213
2024-08-07,210
2024-08-08,214
2024-08-09,237
2024-08-10,252
2024-08-11,265
2024-08-12,219
2024-08-13,217
2024-08-14,240
2024-08-15,207
2024-08-16,231
2024-08-17,243
2024-08-18,275
2024-08-19,223
2024-08-20,189
2024-08-21,202
2024-08-22,221
2024-08-23,229
2024-08-24,254
2024-08-25,248
2024-08-26,207
2024-08-27,214
2024-08-28,210
2024-08-29,224
2024-08-30,195
2024-08-31,251
2024-09-01,247
2024-09-02,223
2024-09-03,214
2024-09-04,211
2024-09-05,226
2024-09-06,218
2024-09-07,243
2024-09-08,239
2024-09-09,210
2024-09-10,220
2024-09-11,231
2024-09-12,219
2024-09-13,239
2024-09-14,253
2024-09-15,256
2024-09-16,216
2024-09-17,225
2024-09-18,214
2024-09-19,217
2024-09-20,224
2024-09-21,253
2024-09-22,245
2024-09-23,220
2024-09-24,209
2024-09-25,222
2024-09-26,210
2024-09-27,230
2024-09-28,256
2024-09-29,250
2024-09-30,231
2024-10-01,221
2024-10-02,242
2024-10-03,234
2024-10-04,222
2024-10-05,251
2024-10-06,266
2024-10-07,213
2024-10-08,217
2024-10-09,218
2024-10-10,204
2024-10-11,227
2024-10-12,229
2024-10-13,265
2024-10-14,205
2024-10-15,209
2024-10-16,219
2024-10-17,227
2024-10-18,214
2024-10-19,235
2024-10-20,247
2024-10-21,192
2024-10-22,207
2024-10-23,240
2024-10-24,213
2024-10-25,239
2024-10-26,240
2024-10-27,266
2024-10-28,211
2024-10-29,218
2024-10-30,229
2024-10-31,246
2024-11-01,253
2024-11-02,281
2024-11-03,271
2024-11-04,239
2024-11-05,234
2024-11-06,253
2024-11-07,244
2024-11-08,275
2024-11-09,255
2024-11-10,282
2024-11-11,244
2024-11-12,235
2024-11-13,235
2024-11-14,243
2024-11-15,237
2024-11-16,285
2024-11-17,326
2024-11-18,250
2024-11-19,228
2024-11-20,236
2024-11-21,244
2024-11-22,270
2024-11-23,274
2024-11-24,281
2024-11-25,249
2024-11-26,254
2024-11-27,244
2024-11-28,238
2024-11-29,240
2024-11-30,279
2024-12-01,273
2024-12-02,347
2024-12-03,247
2024-12-04,267
2024-12-05,289
2024-12-06,288
2024-12-07,286
2024-12-08,322
2024-12-09,268
2024-12-10,249
2024-12-11,252
2024-12-12,265
2024-12-13,254
2024-12-14,330
2024-12-15,277
2024-12-16,242
2024-12-17,258
2024-12-18,264
2024-12-19,273
2024-12-20,282
2024-12-21,307
2024-12-22,335
2024-12-23,233
2024-12-24,265
2024-12-25,261
2024-12-26,276
2024-12-27,286
2024-12-28,301
2024-12-29,311
2024-12-30,273
2024-12-31,273
